well	strain	FSC_mean	FSC_median	FSC_sd	FSC_var	FSC_CV	FSC_min_90	FSC_max_90	FSC_range_90	log_FL2_mean	log_FL2_median	log_FL2_sd	log_FL2_var	log_FL2_CV	log_FL2_peak1	log_FL2.peak2	log_FL2.peak3	n_FSC	n_log_FL2
A10	MA 6B	376554.82806944445	341358.59375	157464.51072353774	24795072137.40313	65847.17626520622	137245.88984375002	771525.3437499997	634279.4539062496	14.312768592472446	14.319615619526795	0.804673652226404	0.6474996865873798	0.04523930380093765	13.894792921145848	14.716786965769877	NA	9000	9000
A11	MA 1F	232074.22732899306	214599.3515625	88841.46649476928	7892806168.941214	34009.83495574549	102613.726953125	473085.2078124999	370471.48085937486	13.044772946528147	13.069172830320749	0.8367548139486258	0.7001586186661994	0.053673499840604426	13.261389668774541	12.350673394528844	NA	9000	8998
A12	Diploid (AS)	219291.29824045138	219879.546875	74044.60670913008	5482603782.70975	25001.46529616562	111411.936328125	365086.04843749997	253674.11210937495	13.332169385633364	13.315022170515203	0.6608101678630515	0.4366700779511942	0.03275311506481056	12.980877324742867	13.839812275423284	NA	9000	8996
B10	MA 4G (a)	345691.37220833334	326529.9375	113913.2518478569	12976228946.553274	37537.03444682171	170538.43515625	657388.6156249994	486850.1804687494	14.48955418261066	14.224182632312148	1.2248070449772406	1.50015229742588	0.103533364692908	13.683572654411705	16.10613968491298	NA	9000	8999
B11	MA 4B	351967.5327881944	333716.75	117974.69980497473	13918029794.073906	39543.504719935176	168169.01796875	666545.1374999994	498376.1195312494	14.817852638810798	14.645911692312966	1.3408511511398187	1.7978818095129767	0.12133214260776082	13.777091079298547	16.278309930301734	NA	9000	8999
B12	Haploid (AS)	163669.49932291667	166479.296875	53961.150382869724	2911805750.642681	17790.765919664398	72652.331640625	299161.4703124999	226509.1386718749	12.202292291359415	12.219894491933736	0.6196464425284095	0.38396171373811355	0.03146635931758505	12.688774848238024	11.868500425317979	NA	9000	8988
C10	MA 1E	257052.11487239585	238112.1015625	103319.52680558237	10674924619.329454	41528.25050526673	109633.43789062499	547965.5187499999	438332.08085937495	13.225589740525674	13.257358346804475	0.8991319710106765	0.8084383012935441	0.061126824372628036	13.334790577361613	12.504860287657145	NA	9000	8995
C11	MA 5F	330438.8078402778	319830.75	104737.12191821415	10969864707.710854	33197.87036943097	161651.26015625	618359.2999999999	456708.03984374995	13.785437657389918	13.701642190909247	0.760221502734668	0.5779367332201569	0.041923713093747456	13.605231635454643	NA	NA	9000	8998
C12	MA 4C	366926.97744618054	348223.859375	128285.69860764642	16457220467.251894	44851.48675029155	171583.27031249998	721221.7374999999	549638.4671875	14.84489352314143	14.689812361456426	1.2702781150236278	1.6136064895079807	0.1086977476121711	13.796594083241269	16.19431222700632	NA	9000	8998
D10	Diploid (BY)	211436.20927604166	211373.6015625	54671.28031834845	2988948891.6474347	14136.409756311876	98117.137890625	336312.4359375	238195.298046875	12.984211398419239	12.968171763612858	0.7315085466373382	0.5351047538034708	0.04121195638178049	12.752014774786307	13.555682116333408	NA	9000	8994
